Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,345,0,3800.0,4388.249678839592,779.8702999716625,38177.36670002341,1070090.568115942,5.922929401263371,0.0,3800,4900,5700,6200,7200,8700,12000,17000,38000,38000,38000
,Aggregated,345,0,3800.0,4388.249678839592,779.8702999716625,38177.36670002341,1070090.568115942,5.922929401263371,0.0,3800,4900,5700,6200,7200,8700,12000,17000,38000,38000,38000
